signalType,sampleRate,algorithm,algorithmParameters,trueFreq,predFreq,time
sine,44100,cepstrum,isCustomFFT=False,250,3678.5888671875,0.00034202000097138807
sine,44100,HPS,isCustomFFT=False&numDownsamples=4,250,64.599609375,0.0038477449998026714
sine,44100,average,b=1&isCustomFFT=False&numDownsamples=4,250,188.41391856340775,15.474428376997821
sine,44100,median,b=1&isCustomFFT=False&numDownsamples=4,250,250.07396449704143,15.474428376997821
saw,44100,zerocross,n/a,250,250.07396449704143,0.0001644769945414737
saw,44100,autocorrelation,n/a,250,250.5681818181818,6.8878637259986135
saw,44100,AMDF,b=1,250,50.0,8.5468565150004
saw,44100,naiveFT,isCustomFFT=False,250,258.3984375,0.0002970890054712072
saw,44100,cepstrum,isCustomFFT=False,250,250.8128773082386,0.00034017200232483447
saw,44100,HPS,isCustomFFT=False&numDownsamples=4,250,258.3984375,0.003907143996912055
saw,44100,average,b=1&isCustomFFT=False&numDownsamples=4,250,250.4850078744873,15.439429122998263
saw,44100,median,b=1&isCustomFFT=False&numDownsamples=4,250,250.5681818181818,15.439429122998263
square,44100,zerocross,n/a,250,250.05154639175257,0.00015762900147819892
square,44100,autocorrelation,n/a,250,250.5681818181818,6.872316942994075
square,44100,AMDF,b=1,250,50.0,8.435618454001087
square,44100,naiveFT,isCustomFFT=False,250,258.3984375,0.0002958390032290481
square,44100,cepstrum,isCustomFFT=False,250,501.6257546164772,0.00034218599466839805
square,44100,HPS,isCustomFFT=False&numDownsamples=4,250,64.599609375,0.0038777129957452416
square,44100,average,b=1&isCustomFFT=False&numDownsamples=4,250,188.4064458616448,15.312608763990283
square,44100,median,b=1&isCustomFFT=False&numDownsamples=4,250,250.05154639175257,15.312608763990283
triangle,44100,zerocross,n/a,250,250.07396449704143,0.00016458500613225624
triangle,44100,autocorrelation,n/a,250,250.5681818181818,6.874642788003257
triangle,44100,AMDF,b=1,250,50.0,8.538859801999934
triangle,44100,naiveFT,isCustomFFT=False,250,258.3984375,0.00029671299853362143
triangle,44100,cepstrum,isCustomFFT=False,250,3678.5888671875,0.0003359870024723932
triangle,44100,HPS,isCustomFFT=False&numDownsamples=4,250,64.599609375,0.003892453998560086
triangle,44100,average,b=1&isCustomFFT=False&numDownsamples=4,250,188.41391856340775,15.418192329008889
triangle,44100,median,b=1&isCustomFFT=False&numDownsamples=4,250,250.07396449704143,15.418192329008889
sineWith10Harmonics,44100,zerocross,n/a,250,250.07396449704143,0.00016070099809439853
sineWith10Harmonics,44100,autocorrelation,n/a,250,250.5681818181818,7.176894297997933
sineWith10Harmonics,44100,AMDF,b=1,250,50.0,8.73250883199944
sineWith10Harmonics,44100,naiveFT,isCustomFFT=False,250,258.3984375,0.0002986190011142753
sineWith10Harmonics,44100,cepstrum,isCustomFFT=False,250,3678.5888671875,0.0003347870006109588
